image,gt_chars,extra_dets
ScreenShot2025_0405_013314806,1,0
ScreenShot2025_0405_144727740,2,0
ScreenShot2025_0405_150025560,2,0
ScreenShot2025_0405_203505907,3,0
ScreenShot2025_0406_001443620,2,0
ScreenShot2025_0406_001936966,1,0
ScreenShot2025_0406_005812924,4,0
ScreenShot2025_0406_012401975,1,0
ScreenShot2025_0407_224019522,4,0
ScreenShot2025_0408_003825371,1,0
ScreenShot2025_0408_013445760,1,0
ScreenShot2025_0408_220955150,1,0
ScreenShot2025_0408_233704886,2,0
ScreenShot2025_0408_234310446,4,0
ScreenShot2025_0410_215510248,2,0
ScreenShot2025_0410_215510424,2,0
ScreenShot2025_0410_215717796,2,0
ScreenShot2025_0410_231654251,2,0
ScreenShot2025_0410_235837896,1,0
ScreenShot2025_0411_235753857,1,0
ScreenShot2025_0412_005135183,2,0
ScreenShot2025_0416_011224149,1,0
ScreenShot2025_0416_021756203,2,0
ScreenShot2025_0416_231425820,1,0
ScreenShot2025_0418_003428186,1,0
ScreenShot2025_0418_012226797,1,0
ScreenShot2025_0419_000130480,4,0
ScreenShot2025_0419_010348708,3,0
ScreenShot2025_0419_173329449,3,0
ScreenShot2025_0419_182401214,2,0
ScreenShot2025_0419_183202125,3,0
ScreenShot2025_0420_001023015,2,0
ScreenShot2025_0420_022927461,1,0
ScreenShot2025_0420_162406086,4,0
ScreenShot2025_0421_214311009,3,0
ScreenShot2025_0422_014805010,1,0
ScreenShot2025_0422_015030096,1,0
ScreenShot2025_0422_213044385,1,0
ScreenShot2025_0422_215518599,1,0
ScreenShot2025_0422_220722631,2,0
ScreenShot2025_0422_223555434,2,0
ScreenShot2025_0422_233351071,2,0
ScreenShot2025_0422_233436304,4,0
ScreenShot2025_0424_010127307,1,0
ScreenShot2025_0424_020849021,1,0
ScreenShot2025_0424_022403378,2,0
ScreenShot2025_0427_181459409,1,0
ScreenShot2025_0429_014100687,1,0
ScreenShot2025_0429_130047022,2,0
ScreenShot2025_0430_014445253,1,0
ScreenShot2025_0430_020129048,1,0
ScreenShot2025_0430_193712634,1,0
ScreenShot2025_0430_215249198,1,0
ScreenShot2025_0501_010757510,1,0
ScreenShot2025_0501_153829399,3,0
ScreenShot2025_0501_185645322,2,0
ScreenShot2025_0502_001924665,1,0
ScreenShot2025_0503_140800390,1,0
ScreenShot2025_0503_141200042,1,0
ScreenShot2025_0503_150212529,1,0
ScreenShot2025_0504_003902999,1,0
ScreenShot2025_0504_204854243,1,0
ScreenShot2025_0504_210435774,2,0
ScreenShot2025_0504_232404389,2,0
ScreenShot2025_0504_234033049,1,0
ScreenShot2025_0504_234202587,1,0
ScreenShot2025_0505_000854738,5,0
ScreenShot2025_0505_004333366,2,0
ScreenShot2025_0508_205522476,5,0
ScreenShot2025_0511_224559785,7,0
ScreenShot2025_0512_222352505,1,0
ScreenShot2025_0515_204337411,2,0
ScreenShot2025_0516_205656712,3,0
ScreenShot2025_0518_024953038,2,0
ScreenShot2025_0518_025234780,3,0
ScreenShot2025_0518_025648311,2,0
ScreenShot2025_0520_032009877,1,0
ScreenShot2025_0520_230121553,1,0
ScreenShot2025_0520_231520067,1,0
ScreenShot2025_0521_234737931,2,0
ScreenShot2025_0521_235717462,3,0
ScreenShot2025_0524_011157768,2,0
ScreenShot2025_0524_022040345,2,0
ScreenShot2025_0524_174009909,1,0
ScreenShot2025_0526_001135596,1,0
ScreenShot2025_0526_001540077,4,0
ScreenShot2025_0526_002301029,2,0
ScreenShot2025_0527_001232921,2,0
ScreenShot2025_0527_234324611,2,0
ScreenShot2025_0528_210538974,1,0
ScreenShot2025_0528_225859517,4,0
ScreenShot2025_0529_012256465,1,0
ScreenShot2025_0531_012339970,1,0
ScreenShot2025_0601_004048251,2,0
